Summary: {Weight} {token}: {words[0:10]}
0.0006433    2 ripple         : 砂紋, 小波
0.0006411    2 acuminate      : 尖圭, 尖形
0.0006396    1 works          : 私淑
0.0006386    1 mein           : 炒麺
0.0006362    3 despicable     : 下劣, 卑劣, 鄙劣
0.0006304    2 master         : 私淑, 妙手
0.0006301    1 gossamer       : 薄紗
0.0006287    3 brother        : 叔父, 少弟, 小弟
0.0006206    1 winning        : 秒殺
0.0006194    1 calmness       : 寂静
0.0006179    8 end            : 弥立つ, 尖頭, 歳暮, 歳末, 尖端, 歳晩, 袋小路, 小口
0.0006166    2 model          : 私淑, 原型
0.0006164    2 pointy         : 尖圭, 尖形
0.0006129    1 abstract       : 抄録
0.0006128    1 virtue         : 貞淑
0.0006122    4 scooter        : 原チャ, 原チャリ, 原付, 原付き
0.0006109   11 time           : 一頻り, 秒, 弥々, 弥弥, 千歳, 歳月, 少し, 懸ける, 懸かる, 懸る, ...
0.0006092    1 chintz         : 更紗
0.0006063    4 situation      : 劣勢, 劣位, 微妙, 命懸け
0.0006039    1 outpost        : 前哨
0.0006027    8 cause          : 源頭, 本源, 根源, 懸ける, 原由, 病原, 根原, 原因
0.0006023    1 radiation      : 線源
0.0006004    1 quotation      : 抄録
0.0006001    1 placer         : 砂鉱
0.0005989    2 assistant      : 少領, 少輔
0.0005960    3 occurrence     : 頻発, 頻度, 頻出
0.0005913    1 map            : 立県
0.0005907    1 final          : 晩歳
0.0005839    2 housemother    : 寮監, 寮母
0.0005796    3 box            : 哨舎, 小車, 小箱
0.0005782    1 destination    : 立県
0.0005773    2 chic           : 小洒落る, 小粋
0.0005751    2 oil            : 炒まる, 原油
0.0005718    9 petition       : 願意, 願い出, 嘆願, 歎願, 訴願, 請願, 懇願, 願書, 哀願
0.0005672    1 grandaunt      : 大叔母
0.0005672    1 granduncle     : 大叔父
0.0005600    1 cabinet        : 閣僚
0.0005583    8 horse          : 歩様, 駆歩, 常歩, 歩法, 襲歩, 速歩, 駈歩, 小馬
0.0005557    1 capsicum       : 蕃椒
0.0005557    1 Capsicum       : 蕃椒
0.0005540    3 green          : 青椒肉絲, 小ネギ, 小葱
0.0005498    1 desquamation   : 落屑
0.0005496    1 calico         : 更紗
0.0005471    2 rock           : 砂紋, 河原鳩
0.0005470    1 chow           : 炒麺
0.0005456    2 subordination  : 劣位, 劣後
0.0005423    1 kin            : 親戚
0.0005402    2 parching       : から炒り, 空炒り
0.0005379    2 stand          : 弥立つ, 懸け
0.0005322    2 imaginary      : 迦陵頻伽, 迦陵頻迦
0.0005317    1 unspecified    : 某省
0.0005317    1 promotion      : 立県
0.0005306    1 corrupt        : 娑婆
0.0005289    1 Eve            : 大歳
0.0005277    1 cayenne        : 蕃椒
0.0005277    1 chile          : 蕃椒
0.0005273    1 physical       : 物療
0.0005264    1 pulpy          : 抄く
0.0005261    4 wood           : かんな屑, 鉋屑, 木屑, 小板
0.0005260    3 filthy         : 穢らわしい, 穢らしい, 穢い
0.0005257    2 meat           : 青椒肉絲, 小間切れ
0.0005250    1 recuperation   : 療養
0.0005217    1 eta            : 穢多
0.0005200    2 summary        : 抄録, 小括
0.0005198    3 animal         : 穢多, 劣情, 小屋
0.0005194    2 roasting       : から炒り, 空炒り
0.0005176    2 motor          : 原チャ, 原チャリ
0.0005144    1 disabled       : 療育
0.0005136    2 japonica       : 小茄子, 小車
0.0005126   14 period         : 一頻り, 弥生, 少輔, 少女, 歩行, 徒歩, 小歌, 小店, 小子, 小篆, ...
0.0005117    7 entreaty       : 願, 願い, 嘆願, 歎願, 切願, 懇願, 哀願
0.0005114    4 wastebasket    : 屑入れ, 屑かご, 屑篭, 屑籠
0.0005047    1 scooping       : 抄い
0.0005037    2 stylish        : 小洒落る, 小粋
0.0004998   21 young          : 少婢, 妙齢, 早少女, つたい歩き, 老少, 年少, 青少年, 少年, 少女, 小婢, ...
0.0004996    1 selection      : 抄録
0.0004951    3 happen         : 頻る, 降り懸かる, 降り懸る
0.0004939    2 desolation     : 寂然, 寂寞
0.0004935    2 bicycle        : 原チャ, 原チャリ
0.0004916    1 patrol         : 哨戒
0.0004904    8 life           : 娑婆, 命懸け, ひとり歩き, 一人歩き, 独り歩き, 歩む, 歩み, 歩
