Summary: {Weight} {token}: {words[0:10]}
0.0005889    6 Japan          : 北陸道, 隣組, 陸自, 衆院, 参院, 中陰
0.0005867    2 board          : 鼻隠し, 附け
0.0005829    3 attendant      : 随身, 随行, 随員
0.0005828    2 hazard         : 冒険, 危険
0.0005815    2 voice          : 迦陵頻伽, 迦陵頻迦
0.0005807    2 winner         : 阿弥陀, 阿彌陀
0.0005800    5 shading        : 隈, 隈取, 隈取り, 陰影, 陰翳
0.0005796    4 woman          : 阿翁, 女院, 阿婆擦れ, 五障
0.0005788    1 mark           : 阪
0.0005788    1 venture        : 冒険
0.0005774    2 determine      : 阿弥陀, 阿彌陀
0.0005773    3 obstruct       : 阻む, さし障る, 差し障る
0.0005770    3 magic          : 隠れ身, 隠形, 方陣
0.0005746    4 main           : 本隊, 附載, 本院, 奥の院
0.0005729    3 soldier        : 隊士, 陣笠, 兵隊
0.0005714    3 explanation    : 縷陳, 陳弁, 附け加える
0.0005696    1 steepness      : 険
0.0005670    2 rear           : 陪臣, 後陣
0.0005659    8 water          : 防滴, 陸水, 水陸, 水際, 陸湯, 除水, 霜降, 霜降り
0.0005643   11 going          : 階子, 通院, 附属, 上り降り, 昇り降り, 登り降り, 上陸, 出陣, 雲隠れ, 昇降, ...
0.0005641    1 ordination     : 叙階
0.0005640    2 incident       : 附随, 付随
0.0005640    8 lower          : 左隅, 階下, 下限, 両院, 衆院, 下院, 降す, 降ろす
0.0005617    4 shore          : 陸岸, 水際, 陸っぱり, 陸上
0.0005606    5 court          : 法院, 位階, 限, 限り, 着陣
0.0005592    5 upper          : 階上, 上院, 上限, 両院, 参院
0.0005552    5 setting        : 出際, 落陽, 西陽, 夕陽, 斜陽
0.0005535    2 alienation     : 隔心, 疎隔
0.0005529    1 ways           : 固陋
0.0005514    4 dark           : 隈, 陰々, 陰陰, 陰る
