Summary: {Weight} {token}: {words[0:10]}
0.0002696    1 bodhisattva    : 虚空蔵
0.0002680    3 Star           : 七夕祭, 七夕祭り, 七夕
0.0002666    7 person         : 虎豹, 委託, 悪戯者, ちょん切る, 切れ者, 切り捨て, 切捨て
0.0002665    1 slaughter      : 虐殺
0.0002622    2 harshly        : 虐める, 切言
0.0002608    1 groundless     : 虚説
0.0002582    2 ferocious      : 虎豹, 猛虎
0.0002581    4 acute          : 劇症, 劇痛, 痛切, 切実
0.0002578    3 hole           : 虚, 切り窓, 切窓
0.0002567    4 show           : 虚勢, 虚飾, 喜劇, 見切れる
0.0002564    1 bullying       : 虐め
0.0002552    2 vehement       : 劇しい, 劇甚
0.0002540    3 August         : 七夕祭, 七夕祭り, 七夕
0.0002536    1 harlequin      : 虎鱚
0.0002512    1 teasing        : 虐め
0.0002511    2 interrupt      : 途切らす, 引き切る
0.0002489    5 comic          : 劇画, 戯れ歌, 戯歌, 初っ切り, 大切り
0.0002488    6 part           : 虚部, 切り張り, 切張り, 切貼, 切貼り, 切り貼り
0.0002486    5 seventh        : 七月, 七種, 七草, 七赤, 七夜
0.0002472    2 misinformation : 虚報, 虚偽
0.0002471    4 verbal         : 託け, 切っ先, 切先, 切尖
0.0002458    1 stinger        : 鬼虎魚
0.0002448    2 furious        : 劇しい, 半切れ
0.0002426    6 story          : 劇画, 虚報, 読み切り, 読切, 読切り, 戯談
0.0002424    2 philosophy     : 大虚, 太虚
0.0002419    2 poison         : 劇毒, 劇薬
0.0002408    2 certificate    : 切り手, 切手
